name,height,weight,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,power_score,strong
registeel,19,2050,261,steel,80,75,150,75,150,50,580,1
iron-crown,16,1560,295,steel,90,72,100,122,108,98,590,1
steelix,92,4000,179,steel,75,85,200,55,65,30,510,1
duraludon,18,400,187,steel,70,95,115,120,50,85,535,1
klinklang,6,810,234,steel,60,100,115,70,85,90,520,1
honedge,8,20,65,steel,45,80,100,35,37,28,325,0
klink,3,210,60,steel,40,55,70,45,60,30,300,0
aron,4,600,66,steel,50,70,100,40,40,30,330,0
revavroom,18,1200,175,steel,80,119,90,54,67,90,500,0
doublade,8,45,157,steel,59,110,150,45,49,35,448,0
aegislash-shield,17,530,234,steel,60,50,140,50,140,60,500,0
orthworm,25,3100,240,steel,70,85,145,60,55,65,480,0
klefki,2,30,165,steel,57,80,91,80,87,75,470,0
copperajah,30,6500,175,steel,122,130,69,80,69,30,500,0
metang,12,2025,147,steel,60,75,100,55,80,50,420,0
flygon,20,820,234,ground,80,100,80,80,80,100,520,1
groudon,35,9500,302,ground,100,150,140,100,90,90,670,1
gliscor,20,425,179,ground,75,95,125,45,75,95,510,1
hippowdon,20,3000,184,ground,108,112,118,68,72,47,525,1
toedscruel,19,580,180,ground,80,70,65,80,120,100,515,1
iron-treads,9,2400,285,ground,90,112,120,72,70,106,570,1
mienshao,14,355,179,fighting,65,125,60,95,60,105,510,1
annihilape,12,560,268,fighting,110,115,80,50,90,90,535,1
marshadow,7,222,270,fighting,90,125,80,90,90,125,600,1
sneasler,13,430,102,fighting,80,130,60,40,80,120,510,1
enamorus-incarnate,16,480,116,fairy,74,115,70,135,80,106,580,1
xerneas,30,2150,306,fairy,126,131,95,131,98,99,680,1
zacian,28,1100,335,fairy,92,120,115,80,115,138,660,1
iron-valiant,14,350,295,fairy,74,130,90,120,60,116,590,1
yanmega,19,515,180,bug,86,76,86,116,56,95,515,1
golisopod,20,1080,186,bug,75,125,140,60,90,40,530,1
buzzwole,24,3336,257,bug,107,139,139,53,53,79,570,1
giratina-altered,45,7500,306,ghost,150,100,120,100,120,90,680,1
chandelure,10,343,234,ghost,60,55,90,145,90,80,520,1
dusknoir,22,1066,236,ghost,45,100,135,65,135,45,525,1
noivern,15,850,187,flying,85,70,80,97,80,123,535,1
tornadus-incarnate,15,630,261,flying,79,115,70,125,80,111,580,1
cramorant,8,180,166,flying,70,85,55,85,95,85,475,0
flamigo,16,370,175,flying,82,115,74,75,64,90,500,0
rookidee,2,18,49,flying,38,47,35,33,35,57,245,0
